,est,se
0,0.7390725,0.0
1,0.58162516,0.0
2,0.5864781,0.0
3,0.4999299,0.0
4,0.73176646,0.0
5,0.3717199,0.0
6,0.47777247,0.0
7,0.5452692,0.0
8,0.40137956,0.0
9,0.63085306,0.0
10,1.1530585,0.0
11,1.0218481,0.0
12,0.9481151,0.0
13,0.52748126,0.0
14,1.2740066,0.0
15,0.9306825,0.0
16,1.0434715,0.0
17,1.0547125,0.0
18,0.986992,0.0
19,1.1342183,0.0
20,1.3273842,0.0
21,1.0771166,0.0
22,0.90520316,0.0
23,1.3174875,0.0
24,0.9815316,0.0
25,0.7134611,0.0
26,0.77428913,0.0
27,0.92402875,0.0
28,0.8861227,0.0
29,1.0664614,0.0
30,1.1617103,0.0
31,0.83160836,0.0
32,1.1112077,0.0
33,0.89948213,0.0
34,0.73908615,0.0
35,0.72747177,0.0
36,0.8819917,0.0
37,0.7039532,0.0
38,1.0733047,0.0
39,0.83322763,0.0
40,0.9837974,0.0
41,1.1003537,0.0
42,1.0685332,0.0
43,0.78924346,0.0
44,0.7873058,0.0
45,1.0689996,0.0
46,0.84309584,0.0
47,0.9559682,0.0
48,0.9499899,0.0
49,1.0707154,0.0
50,0.9442885,0.0
51,1.167346,0.0
52,0.69539696,0.0
53,0.95548385,0.0
54,1.3916618,0.0
55,0.995834,0.0
56,0.7951258,0.0
57,0.7775803,0.0
58,0.6759647,0.0
59,0.53360116,0.0
60,1.0225822,0.0
61,0.83786,0.0
62,1.2208759,0.0
63,0.82132554,0.0
64,0.75342876,0.0
65,1.0872762,0.0
66,0.73398876,0.0
67,0.81372917,0.0
68,0.9346347,0.0
69,0.98439395,0.0
70,0.817863,0.0
71,0.6800298,0.0
72,0.8332696,0.0
73,1.1138417,0.0
74,0.8467934,0.0
75,0.96796983,0.0
76,0.8304581,0.0
77,0.6995695,0.0
78,0.70780885,0.0
79,1.426832,0.0
80,1.4514863,0.0
81,1.0932109,0.0
82,1.3367119,0.0
83,1.0146718,0.0
84,0.7658346,0.0
85,0.86305356,0.0
86,0.74010146,0.0
87,0.9919133,0.0
88,0.77213687,0.0
89,0.7573462,0.0
90,1.0295229,0.0
91,0.5919264,0.0
92,0.7441276,0.0
93,0.9656756,0.0
94,1.1898626,0.0
95,1.0585325,0.0
96,0.98684376,0.0
97,0.8528131,0.0
98,0.66802436,0.0
99,0.56576276,0.0
100,0.9801319,0.0
101,0.8458913,0.0
102,1.5906626,0.0
103,0.668561,0.0
104,0.76321834,0.0
105,0.82795733,0.0
106,0.66120905,0.0
107,0.82068384,0.0
108,1.1390127,0.0
109,1.1182305,0.0
110,-3.3564913,0.0
111,0.83791417,0.0
112,0.30336127,0.0
113,0.39942473,0.0
114,0.691722,0.0
115,0.30996507,0.0
116,0.5055997,0.0
117,0.5791604,0.0
118,0.8317323,0.0
119,0.50126004,0.0
120,0.47742954,0.0
121,-0.18972343,0.0
122,0.22828612,0.0
123,0.075930886,0.0
124,-0.23630884,0.0
125,-0.040576044,0.0
126,0.121824205,0.0
127,0.077655524,0.0
128,0.1133782,0.0
129,-0.15155472,0.0
130,0.047829982,0.0
131,0.34932157,0.0
132,-0.10690176,0.0
133,0.27113748,0.0
134,0.31254232,0.0
135,0.33666265,0.0
136,-0.17540334,0.0
137,0.26750487,0.0
138,-0.16327117,0.0
139,0.15112525,0.0
140,-0.13896808,0.0
141,-0.27924758,0.0
142,0.06926658,0.0
143,0.72282976,0.0
144,0.008525255,0.0
145,0.058176428,0.0
146,-0.078015424,0.0
147,-0.1978211,0.0
148,0.1934279,0.0
149,0.03806507,0.0
150,0.41584113,0.0
151,-0.08119115,0.0
152,0.10553876,0.0
153,-0.28264266,0.0
154,0.10587481,0.0
155,0.25317872,0.0
156,-0.2765857,0.0
157,0.027018346,0.0
158,0.080672815,0.0
159,-0.22017325,0.0
160,-0.047068622,0.0
161,0.29279432,0.0
162,0.025128221,0.0
163,-0.48718274,0.0
164,0.19512644,0.0
165,-0.17816874,0.0
166,0.3725906,0.0
167,-0.37534922,0.0
168,-0.2473748,0.0
169,-0.14693652,0.0
170,-0.037839465,0.0
171,0.17875189,0.0
172,-0.032868616,0.0
173,-0.04666539,0.0
174,-0.068797156,0.0
175,0.6270042,0.0
176,-0.3214709,0.0
177,-0.28734708,0.0
178,0.17405072,0.0
179,-0.015390809,0.0
180,-0.24440178,0.0
181,-0.3221442,0.0
182,-0.2547471,0.0
183,0.18219447,0.0
184,0.33262283,0.0
185,-0.15995297,0.0
186,0.019497564,0.0
187,-0.033163864,0.0
188,0.13782106,0.0
189,0.31762064,0.0
190,0.4724839,0.0
191,0.015242645,0.0
192,-0.23335324,0.0
193,0.27172455,0.0
194,0.045773413,0.0
195,-0.354317,0.0
196,0.12504356,0.0
197,0.38828307,0.0
198,-0.17911464,0.0
199,-0.1008394,0.0
200,-0.44927603,0.0
201,-0.4163559,0.0
202,0.011475736,0.0
203,-0.33474007,0.0
204,0.27076045,0.0
205,0.03363735,0.0
206,0.33902645,0.0
207,0.21574023,0.0
208,-0.18108568,0.0
209,0.3622948,0.0
210,-0.20191008,0.0
211,0.065391496,0.0
212,0.11798075,0.0
213,0.15433142,0.0
214,-0.24665527,0.0
215,-0.08769232,0.0
216,0.23721738,0.0
217,-0.42919183,0.0
218,-0.16654152,0.0
219,0.05841098,0.0
220,0.56401575,0.0
221,-0.18958496,0.0
222,0.5018116,0.0
223,0.60782903,0.0
224,0.7249445,0.0
225,0.5924688,0.0
226,0.5241808,0.0
227,0.42902747,0.0
228,0.7102341,0.0
229,0.5791235,0.0
230,0.7412492,0.0
231,0.511862,0.0
232,0.16981591,0.0
233,-0.12641813,0.0
234,0.20477393,0.0
235,0.15031055,0.0
236,0.014427551,0.0
237,0.22383411,0.0
238,0.0058859847,0.0
239,0.2136412,0.0
240,0.18092225,0.0
241,-0.1484118,0.0
242,-0.20179656,0.0
243,0.02751875,0.0
244,0.09739469,0.0
245,-0.15326414,0.0
246,-0.13721257,0.0
247,0.062366188,0.0
248,0.11280077,0.0
249,0.035052054,0.0
250,0.032933246,0.0
251,-0.20370217,0.0
252,0.07206712,0.0
253,0.21561243,0.0
254,0.23986095,0.0
255,0.08667466,0.0
256,-0.0037077672,0.0
257,-0.13175097,0.0
258,0.15450026,0.0
259,0.028192695,0.0
260,0.11127978,0.0
261,0.18392739,0.0
262,0.048566647,0.0
263,-0.05924589,0.0
264,-0.26453882,0.0
265,-0.0011813208,0.0
266,0.20612262,0.0
267,-0.28608486,0.0
268,0.014490231,0.0
269,0.10747288,0.0
270,-0.24734695,0.0
271,-0.26452965,0.0
272,0.02915932,0.0
273,-0.1442368,0.0
274,0.23662935,0.0
275,-0.12356049,0.0
276,-0.30221558,0.0
277,-0.14795323,0.0
278,0.039252087,0.0
279,-0.073178254,0.0
280,0.25473794,0.0
281,0.15977837,0.0
282,-0.010803326,0.0
283,-0.43518826,0.0
284,-0.14195697,0.0
285,0.1343698,0.0
286,0.14216025,0.0
287,-0.07016477,0.0
288,-0.08028946,0.0
289,-0.09887181,0.0
290,-0.2829228,0.0
291,-0.0843019,0.0
292,0.059668433,0.0
293,-0.11928092,0.0
294,0.022928352,0.0
295,-0.15597087,0.0
296,-0.16190033,0.0
297,-0.11278398,0.0
298,-0.17406787,0.0
299,-0.0983237,0.0
300,0.006470622,0.0
301,0.0002354792,0.0
302,-0.36957577,0.0
303,0.2872029,0.0
304,-0.19304082,0.0
305,0.112574145,0.0
306,-0.13947828,0.0
307,-0.27796707,0.0
308,0.08582217,0.0
309,0.19244358,0.0
310,0.3045047,0.0
311,-0.16383493,0.0
312,0.20889595,0.0
313,0.32363626,0.0
314,0.04285226,0.0
315,0.18257236,0.0
316,0.116202034,0.0
317,0.018942948,0.0
318,-0.25803968,0.0
319,-0.14950591,0.0
320,0.16635844,0.0
321,0.10929896,0.0
322,0.23752537,0.0
323,0.019680355,0.0
324,0.23593034,0.0
325,-0.15650056,0.0
326,0.1693275,0.0
327,-0.19080636,0.0
328,-0.003208022,0.0
329,-0.004403384,0.0
330,-0.2915943,0.0
331,0.016992465,0.0
332,0.3068366,0.0
