,est,se
0,0.9298426,0.0
1,0.8735378,0.0
2,0.9041519,0.0
3,0.9647294,0.0
4,0.98722243,0.0
5,0.9443835,0.0
6,0.96284354,0.0
7,0.9632147,0.0
8,0.9524668,0.0
9,0.9754575,0.0
10,0.87914354,0.0
11,0.9444431,0.0
12,0.9113888,0.0
13,0.9882134,0.0
14,0.9747766,0.0
15,0.8786732,0.0
16,0.96732527,0.0
17,0.98066956,0.0
18,0.8612103,0.0
19,0.9734758,0.0
20,0.95653623,0.0
21,0.86948335,0.0
22,0.98540217,0.0
23,0.9572664,0.0
24,0.9104282,0.0
25,0.97398937,0.0
26,0.98775953,0.0
27,0.9881622,0.0
28,0.7709592,0.0
29,0.9077756,0.0
30,0.9875532,0.0
31,0.9798059,0.0
32,0.987606,0.0
33,0.98657525,0.0
34,0.9709171,0.0
35,0.8514009,0.0
36,0.9818313,0.0
37,0.9877712,0.0
38,0.9356028,0.0
39,0.9267065,0.0
40,0.80395865,0.0
41,0.814026,0.0
42,0.9773855,0.0
43,0.9233114,0.0
44,0.8636428,0.0
45,0.9854752,0.0
46,0.92617536,0.0
47,0.9224909,0.0
48,0.94364744,0.0
49,0.98037654,0.0
50,0.95672345,0.0
51,0.93936133,0.0
52,0.9840036,0.0
53,0.9030224,0.0
54,0.92495584,0.0
55,0.9881602,0.0
56,0.9120735,0.0
57,0.92113584,0.0
58,0.9883162,0.0
59,0.98684174,0.0
60,0.92505574,0.0
61,0.9786592,0.0
62,0.940725,0.0
63,0.94036746,0.0
64,0.98158896,0.0
65,0.8713225,0.0
66,0.950938,0.0
67,0.9503822,0.0
68,0.9386137,0.0
69,0.98396045,0.0
70,0.9761546,0.0
71,0.9635338,0.0
72,0.88170165,0.0
73,0.799782,0.0
74,0.8090043,0.0
75,0.9855451,0.0
76,0.9193235,0.0
77,0.9857258,0.0
78,0.9374232,0.0
79,0.9350273,0.0
80,0.9456202,0.0
81,0.9546705,0.0
82,0.986411,0.0
83,0.83745223,0.0
84,0.9556613,0.0
85,0.9473589,0.0
86,0.92484355,0.0
87,0.9553077,0.0
88,0.97659546,0.0
89,0.9433328,0.0
90,0.9629225,0.0
91,0.9729111,0.0
92,0.984051,0.0
93,0.98811585,0.0
94,0.9881519,0.0
95,0.9492549,0.0
96,0.9285685,0.0
97,0.9863227,0.0
98,0.975324,0.0
99,0.9881383,0.0
100,0.9375768,0.0
101,0.938233,0.0
102,0.9820484,0.0
103,0.8445248,0.0
104,0.84316856,0.0
105,0.9482778,0.0
106,0.93659604,0.0
107,0.845231,0.0
108,0.97986346,0.0
109,0.8729686,0.0
110,0.9525239,0.0
111,0.8962643,0.0
112,0.8778181,0.0
113,0.90076333,0.0
114,0.9716014,0.0
115,0.91008383,0.0
116,0.95659053,0.0
117,0.9462641,0.0
118,0.958636,0.0
119,0.92694527,0.0
120,0.98165655,0.0
121,0.80895114,0.0
122,0.94443184,0.0
123,0.9241645,0.0
124,0.98610085,0.0
125,0.9869517,0.0
126,0.9295755,0.0
127,0.93043435,0.0
128,0.94724816,0.0
129,0.9535335,0.0
130,0.9393381,0.0
131,0.97721344,0.0
132,0.9594132,0.0
133,0.9047178,0.0
134,0.90137726,0.0
135,0.942562,0.0
136,0.9220309,0.0
137,0.92166865,0.0
138,0.9188489,0.0
139,0.91287565,0.0
140,0.98147285,0.0
141,0.91640675,0.0
142,0.9881889,0.0
143,0.9609108,0.0
144,0.9274291,0.0
145,0.94285905,0.0
146,0.9731058,0.0
147,0.9658247,0.0
148,0.95080644,0.0
149,0.8125325,0.0
150,0.97987306,0.0
151,0.9169929,0.0
152,0.9670787,0.0
153,0.92372185,0.0
154,0.98505014,0.0
155,0.9682875,0.0
156,0.9206469,0.0
157,0.9861132,0.0
158,0.94131345,0.0
159,0.93994296,0.0
160,0.9572175,0.0
161,0.94349205,0.0
162,0.8513136,0.0
163,0.9217721,0.0
164,0.9878818,0.0
165,0.97336406,0.0
166,0.90419024,0.0
167,0.9609199,0.0
168,0.9217672,0.0
169,0.9390314,0.0
170,0.92206836,0.0
171,0.9609357,0.0
172,0.93534446,0.0
173,0.9121552,0.0
174,0.94786435,0.0
175,0.852364,0.0
176,0.9419236,0.0
177,0.96500874,0.0
178,0.9561099,0.0
179,0.96875226,0.0
180,0.9506775,0.0
181,0.89566016,0.0
182,0.9338215,0.0
183,0.8489818,0.0
184,0.9560609,0.0
185,0.932633,0.0
186,0.9296385,0.0
187,0.9668387,0.0
188,0.9525712,0.0
189,0.95209444,0.0
190,0.5576052,0.0
191,0.9098018,0.0
192,0.9276413,0.0
193,0.96879333,0.0
194,0.95635325,0.0
195,0.97433764,0.0
196,0.9537681,0.0
197,0.9249414,0.0
198,0.9683891,0.0
199,0.9711792,0.0
200,0.8503379,0.0
201,0.9293476,0.0
202,0.9585051,0.0
203,0.9677103,0.0
204,0.9591732,0.0
205,0.98754,0.0
206,0.93494725,0.0
207,0.8942832,0.0
208,0.9883628,0.0
209,0.888126,0.0
210,0.9817007,0.0
211,0.92500675,0.0
212,0.97241795,0.0
213,0.96953857,0.0
214,0.9449559,0.0
215,0.9824501,0.0
216,0.9439317,0.0
217,0.9020188,0.0
218,0.97238374,0.0
219,0.96340626,0.0
220,0.97091645,0.0
221,0.9834914,0.0
222,0.62128174,0.0
223,0.9508671,0.0
224,0.5788034,0.0
225,0.9332424,0.0
226,0.9668203,0.0
227,0.96728635,0.0
228,0.94998956,0.0
229,0.97114754,0.0
230,0.9878107,0.0
231,0.9489882,0.0
232,0.96688855,0.0
233,0.9397422,0.0
234,0.87695223,0.0
235,0.9093175,0.0
236,0.9881172,0.0
237,0.92131215,0.0
238,0.8411668,0.0
239,0.98414034,0.0
240,0.6207008,0.0
241,0.94291824,0.0
242,0.98770446,0.0
243,0.98747635,0.0
244,0.95582074,0.0
245,0.9396857,0.0
246,0.93362415,0.0
247,0.9000685,0.0
248,0.9763512,0.0
249,0.9882672,0.0
250,0.5923192,0.0
251,0.95353687,0.0
252,0.8275515,0.0
253,0.9846924,0.0
254,0.92757297,0.0
255,0.9880395,0.0
256,0.9861329,0.0
257,0.98818576,0.0
258,0.84117,0.0
259,0.91853535,0.0
260,0.9014216,0.0
261,0.97668064,0.0
262,0.9653459,0.0
263,0.98813915,0.0
264,0.97566444,0.0
265,0.97131044,0.0
266,0.9398907,0.0
267,0.9588078,0.0
268,0.96706265,0.0
269,0.9883471,0.0
270,0.9348808,0.0
271,0.93163985,0.0
272,0.9379682,0.0
273,0.90185124,0.0
274,0.96947217,0.0
275,0.9594205,0.0
276,0.8922009,0.0
