,est,se
0,0.9263934,0.0
1,0.87097466,0.0
2,0.9020801,0.0
3,0.96127754,0.0
4,0.9904525,0.0
5,0.94142526,0.0
6,0.9634125,0.0
7,0.9613024,0.0
8,0.9506745,0.0
9,0.97372365,0.0
10,0.87950516,0.0
11,0.9406404,0.0
12,0.91092205,0.0
13,0.99047005,0.0
14,0.9746726,0.0
15,0.8787918,0.0
16,0.96647036,0.0
17,0.9801082,0.0
18,0.86340475,0.0
19,0.9745291,0.0
20,0.95386845,0.0
21,0.870846,0.0
22,0.9863306,0.0
23,0.95544916,0.0
24,0.906086,0.0
25,0.97261304,0.0
26,0.98899895,0.0
27,0.989832,0.0
28,0.7713566,0.0
29,0.90910476,0.0
30,0.9880057,0.0
31,0.97835946,0.0
32,0.98950523,0.0
33,0.9870003,0.0
34,0.9703845,0.0
35,0.84824365,0.0
36,0.9804588,0.0
37,0.9951136,0.0
38,0.9357994,0.0
39,0.92675245,0.0
40,0.80410504,0.0
41,0.8111803,0.0
42,0.97596455,0.0
43,0.9233773,0.0
44,0.8614081,0.0
45,0.98612756,0.0
46,0.9262221,0.0
47,0.92267776,0.0
48,0.9431607,0.0
49,0.97951955,0.0
50,0.9561978,0.0
51,0.9395673,0.0
52,0.98444647,0.0
53,0.9012713,0.0
54,0.9202145,0.0
55,0.98996854,0.0
56,0.9094746,0.0
57,0.9185755,0.0
58,0.9912527,0.0
59,0.9880475,0.0
60,0.92084014,0.0
61,0.9825103,0.0
62,0.9357114,0.0
63,0.9349205,0.0
64,0.98333913,0.0
65,0.8655748,0.0
66,0.9484664,0.0
67,0.9494538,0.0
68,0.93557906,0.0
69,0.9829698,0.0
70,0.97411144,0.0
71,0.9614346,0.0
72,0.8801405,0.0
73,0.79992294,0.0
74,0.80859935,0.0
75,0.9873869,0.0
76,0.9169772,0.0
77,0.98717695,0.0
78,0.93400204,0.0
79,0.9291453,0.0
80,0.9432383,0.0
81,0.9531425,0.0
82,0.98566943,0.0
83,0.83408856,0.0
84,0.95434874,0.0
85,0.9473729,0.0
86,0.9225371,0.0
87,0.95311683,0.0
88,0.975148,0.0
89,0.93951565,0.0
90,0.9627867,0.0
91,0.9717974,0.0
92,0.98654115,0.0
93,0.99060005,0.0
94,0.9932307,0.0
95,0.94944376,0.0
96,0.9290466,0.0
97,0.9895322,0.0
98,0.9746138,0.0
99,0.9907613,0.0
100,0.93759054,0.0
101,0.93637526,0.0
102,0.9816134,0.0
103,0.8447756,0.0
104,0.8430669,0.0
105,0.94408274,0.0
106,0.9328691,0.0
107,0.84383553,0.0
108,0.97907907,0.0
109,0.87226224,0.0
110,0.9541396,0.0
111,0.8953282,0.0
112,0.8781075,0.0
113,0.901593,0.0
114,0.97160256,0.0
115,0.91092557,0.0
116,0.95409685,0.0
117,0.94444674,0.0
118,0.95847213,0.0
119,0.9238112,0.0
120,0.98156786,0.0
121,0.8089926,0.0
122,0.94439733,0.0
123,0.91758686,0.0
124,0.9873367,0.0
125,0.98956424,0.0
126,0.9274266,0.0
127,0.92754203,0.0
128,0.94617647,0.0
129,0.95399743,0.0
130,0.9349657,0.0
131,0.9755348,0.0
132,0.95720387,0.0
133,0.89931387,0.0
134,0.8986691,0.0
135,0.9406653,0.0
136,0.9243615,0.0
137,0.9162062,0.0
138,0.91659397,0.0
139,0.91335523,0.0
140,0.98085773,0.0
141,0.9139876,0.0
142,0.9908101,0.0
143,0.96049964,0.0
144,0.9303934,0.0
145,0.94046557,0.0
146,0.97625613,0.0
147,0.9621613,0.0
148,0.9491534,0.0
149,0.8140582,0.0
150,0.9868395,0.0
151,0.91247404,0.0
152,0.96675485,0.0
153,0.9203145,0.0
154,0.9888427,0.0
155,0.9681595,0.0
156,0.9169729,0.0
157,0.98588115,0.0
158,0.93826777,0.0
159,0.93991137,0.0
160,0.95589554,0.0
161,0.94342357,0.0
162,0.8586618,0.0
163,0.9174836,0.0
164,0.99004966,0.0
165,0.9716648,0.0
166,0.89827424,0.0
167,0.96050864,0.0
168,0.9202318,0.0
169,0.9362461,0.0
170,0.9178799,0.0
171,0.9576738,0.0
172,0.9350506,0.0
173,0.91405785,0.0
174,0.9463892,0.0
175,0.85482204,0.0
176,0.940296,0.0
177,0.9646883,0.0
178,0.9560264,0.0
179,0.96717036,0.0
180,0.9486625,0.0
181,0.895745,0.0
182,0.93449545,0.0
183,0.8516846,0.0
184,0.9511889,0.0
185,0.93229395,0.0
186,0.9295912,0.0
187,0.9679952,0.0
188,0.9515132,0.0
189,0.95013016,0.0
190,0.6043492,0.0
191,0.90849745,0.0
192,0.9258246,0.0
193,0.96678746,0.0
194,0.953202,0.0
195,0.97455823,0.0
196,0.95032203,0.0
197,0.9236218,0.0
198,0.9654082,0.0
199,0.9686111,0.0
200,0.8484652,0.0
201,0.92773926,0.0
202,0.95797366,0.0
203,0.9671459,0.0
204,0.95592463,0.0
205,0.9871033,0.0
206,0.9333326,0.0
207,0.89428085,0.0
208,0.9911145,0.0
209,0.8879717,0.0
210,0.9811448,0.0
211,0.92580867,0.0
212,0.9716308,0.0
213,0.9685068,0.0
214,0.9421044,0.0
215,0.98275715,0.0
216,0.94397295,0.0
217,0.9010435,0.0
218,0.97111195,0.0
219,0.9601408,0.0
220,0.9689051,0.0
221,0.9848806,0.0
222,0.6529771,0.0
223,0.95010245,0.0
224,0.61888456,0.0
225,0.92804635,0.0
226,0.96518123,0.0
227,0.9636261,0.0
228,0.9444558,0.0
229,0.96867704,0.0
230,0.9888688,0.0
231,0.94653195,0.0
232,0.9644621,0.0
233,0.93812156,0.0
234,0.8764303,0.0
235,0.90662193,0.0
236,0.9878863,0.0
237,0.9176943,0.0
238,0.84122676,0.0
239,0.9850611,0.0
240,0.653172,0.0
241,0.94335717,0.0
242,0.98984724,0.0
243,0.99514574,0.0
244,0.9543793,0.0
245,0.93548185,0.0
246,0.93414885,0.0
247,0.8915816,0.0
248,0.9774031,0.0
249,0.9906607,0.0
250,0.630489,0.0
251,0.9542097,0.0
252,0.82997745,0.0
253,0.9857182,0.0
254,0.92735106,0.0
255,0.9891957,0.0
256,0.98671675,0.0
257,0.9905993,0.0
258,0.83203703,0.0
259,0.9183263,0.0
260,0.8971016,0.0
261,0.9731403,0.0
262,0.9644155,0.0
263,0.98990613,0.0
264,0.97626704,0.0
265,0.9692264,0.0
266,0.94021225,0.0
267,0.9588916,0.0
268,0.96478766,0.0
269,0.9909814,0.0
270,0.9350175,0.0
271,0.9277772,0.0
272,0.9381366,0.0
273,0.90327495,0.0
274,0.9727398,0.0
275,0.95598006,0.0
276,0.88890415,0.0
277,0.9262669,0.0
278,0.96552575,0.0
279,0.9710096,0.0
280,0.9003031,0.0
281,0.68693346,0.0
282,0.8595179,0.0
283,0.8798624,0.0
284,0.95712626,0.0
285,0.99076796,0.0
286,0.98808753,0.0
287,0.97868943,0.0
288,0.96314144,0.0
289,0.9271775,0.0
290,0.8766102,0.0
291,0.9182305,0.0
292,0.9195238,0.0
293,0.94076747,0.0
294,0.9572873,0.0
295,0.9807139,0.0
296,0.9457608,0.0
297,0.92760694,0.0
298,0.9778611,0.0
