,est,se
0,0.5044294,0.023185326
1,0.9999987,0.044721223
2,-0.044432677,0.03165397
3,-0.38839972,0.033924222
4,0.3514032,0.033518378
5,0.24197942,0.03253539
6,0.032223348,0.031639114
7,0.2017015,0.03225956
8,-0.120233275,0.03185045
9,0.067378454,0.031694423
10,0.23889749,0.032512598
11,-0.14141043,0.031937312
12,0.16200738,0.03203505
13,0.07037989,0.031700965
14,0.016433276,0.031627014
15,0.13312131,0.03190171
16,0.02598179,0.03163338
17,-0.011343757,0.03162479
18,-0.020131806,0.03162913
19,-0.08053622,0.03172511
20,0.032167975,0.03163908
21,1.0000006,0.044721454
22,0.14701408,0.03196272
23,-0.065329686,0.031690195
24,0.254905,0.032633997
25,-0.06918368,0.031698383
26,-0.07931237,0.03172209
27,-0.119719885,0.031848587
28,-0.05958955,0.031678885
29,0.09550356,0.03176667
30,0.02436947,0.03163214
31,0.012534463,0.031625293
32,-0.09411436,0.03176257
33,-0.16939422,0.032073293
34,0.33492798,0.03334933
35,-0.19353765,0.03220958
36,0.080933675,0.031726204
37,0.1492031,0.031972814
38,-0.2420384,0.032535877
39,-0.006330394,0.03162342
40,1.0000001,0.04472144
41,-0.26085714,0.03268099
42,-0.06581952,0.031691212
43,-0.13382746,0.031904668
44,-0.024577256,0.03163232
45,0.07221214,0.0317051
46,-0.2109008,0.032318413
47,-0.2965574,0.03298404
48,-0.32107496,0.033212755
49,-0.21391824,0.032338254
50,0.5197881,0.03563961
51,0.27050096,0.03275931
52,-0.06379768,0.031687062
53,-0.09900822,0.03177738
54,0.17083012,0.032080896
55,0.03429195,0.031641338
56,-0.14364837,0.031947378
57,0.23224157,0.032464378
58,0.9999996,0.044721346
59,0.028292127,0.031635437
60,0.16425869,0.032046534
61,0.10348943,0.03179165
62,-0.1744207,0.032100167
63,0.051877953,0.031665288
64,0.067080006,0.031693812
65,0.34355977,0.03343696
66,0.25187656,0.03261046
67,-0.037209485,0.031644646
68,-0.048951734,0.03166065
69,-0.077229775,0.031716924
70,-0.0058619715,0.031623315
71,-0.21769886,0.032363452
72,0.26003173,0.03267436
73,-0.10647298,0.031801492
74,-0.07510973,0.03171183
75,0.99999976,0.04472137
76,0.016527982,0.031627107
77,0.0078009046,0.031623725
78,0.011812295,0.03162495
79,0.08726719,0.031742945
80,-0.0462621,0.031656582
81,-0.07304466,0.03170698
82,-0.01360031,0.031625707
83,-0.19245519,0.0322031
84,-0.2864377,0.03289448
85,-0.14026634,0.03193234
86,0.06906395,0.0316981
87,-0.10730552,0.031804323
88,0.17254822,0.032090046
89,-0.020330897,0.0316293
90,-0.13474977,0.03190857
91,0.9999998,0.044721335
92,-0.2617505,0.0326881
93,0.45634198,0.034759827
94,0.12747873,0.031878665
95,0.22110148,0.03238648
96,0.04668366,0.03165716
97,-0.16670184,0.032059144
98,-0.026357606,0.031633772
99,0.1484042,0.03196914
100,-0.33253965,0.033325396
101,0.18079683,0.032135423
102,-0.14602716,0.031958193
103,0.20689331,0.03229246
104,0.08319789,0.03173201
105,-0.24571286,0.032563366
106,0.9999999,0.04472134
107,-0.36214325,0.03363252
108,-0.03209732,0.031639043
109,0.20032804,0.032251045
110,0.0892895,0.03174852
111,0.15120669,0.031982232
112,-0.11552742,0.031833097
113,0.1462912,0.031959374
114,0.12803407,0.031880893
115,-0.29824135,0.032999184
116,-0.020751324,0.031629603
117,0.03055049,0.0316375
118,0.2783033,0.03282456
119,0.022895662,0.031631045
120,0.9999994,0.044721343
121,0.19764133,0.03223445
122,0.05237128,0.031666066
123,-0.29579502,0.032977153
124,-0.08734955,0.03174317
125,0.18668403,0.03216911
126,0.19187409,0.032199625
127,-0.03089468,0.031637814
128,0.34449717,0.03344663
129,-0.23939611,0.032516316
130,-0.107176684,0.031803824
131,-0.058193382,0.031676244
132,0.008939553,0.03162401
133,0.99999976,0.04472134
134,0.16743934,0.03206299
135,-0.062329613,0.031684108
136,-0.07116386,0.031702753
137,-0.23074663,0.03245373
138,-0.09388786,0.03176186
139,0.03810607,0.031645726
140,0.1900904,0.032189015
141,-0.017043574,0.031627383
142,-0.0858427,0.031739034
143,0.089554496,0.031749327
144,-0.10194284,0.03178666
145,0.99999994,0.04472134
146,-0.12377973,0.03186406
147,0.029786823,0.031636808
148,-0.3538951,0.0335446
149,0.0731582,0.031707272
150,0.28661332,0.032895986
151,0.05606653,0.0316724
152,-0.046127282,0.0316564
153,-0.10112251,0.031784024
154,0.023245579,0.031631317
155,-0.082777694,0.03173092
156,0.99999887,0.044721242
157,0.06370557,0.03168685
158,-0.22673479,0.032425396
159,-0.24190013,0.032534808
160,0.17652354,0.032111637
161,-0.19009694,0.03218905
162,-0.045830943,0.031655964
163,0.018038511,0.03162785
164,0.16647042,0.03205792
165,-0.12853245,0.031882867
166,1.0000005,0.044721372
167,0.033710953,0.03164074
168,0.0039272327,0.031623036
