,est,se
0,-0.14941551,0.06461544
1,-0.058344465,0.06499202
2,-0.2164004,0.064127
3,0.68329066,0.055182133
4,0.6106096,0.05729849
5,0.6854225,0.055119865
6,0.71008134,0.054316103
7,0.68536294,0.05512176
8,0.90896827,0.04599487
9,0.90192777,0.046355903
10,0.8989446,0.04650248
11,0.8974132,0.046577875
12,0.8848721,0.047189802
13,0.8989447,0.046502493
14,0.7029504,0.054499324
15,-0.78666234,0.051489476
16,0.47236192,0.06050389
17,0.16624345,0.06451516
18,0.61646205,0.05711423
19,0.40812337,0.061691955
20,0.45200202,0.060904454
21,0.63464564,0.056607272
22,0.96797705,0.098030105
23,0.99077076,0.10033966
24,0.93845767,0.09503773
25,0.43242285,0.04397236
26,0.545714,0.05531856
27,0.42890692,0.04363713
28,0.387453,0.039488036
29,0.42900607,0.043647375
30,-0.00054137857,0.000435963
31,0.014900577,0.0015216868
32,0.021375366,0.0021246676
33,0.024688369,0.002442275
34,0.051609516,0.005261731
35,0.021375446,0.0021247354
36,0.39959127,0.040521577
37,0.24936472,0.025429288
38,0.72607476,0.07351594
39,0.96157765,0.09737936
40,0.5370615,0.054397635
41,0.794215,0.08042012
42,0.74874973,0.075812556
43,0.5096562,0.051637862
44,0.18556231,0.018792642
45,1.0502751,0.17447262
