,est,se
0,-0.000103945014,0.019783998
1,-5.0978997e-07,0.019294402
2,-0.00022957685,0.020453293
3,0.0002034845,
4,-0.00014837147,0.06453617
5,0.00076759775,
6,-6.0308863e-05,
7,0.00023423729,
8,0.27122572,0.0034892636
9,0.2575763,0.004139185
10,0.25177953,0.004547696
11,0.24943125,0.0047349287
12,0.23461823,0.0062869503
13,0.2517785,0.0045477306
14,0.0003558178,
15,-0.00058525236,
16,0.00028041448,0.029278444
17,2.2360236e-05,0.019810218
18,0.0001617209,0.07142654
19,-5.740348e-05,0.025023194
20,0.0005373762,0.027236763
21,-9.513758e-06,0.12787704
22,0.99483275,0.10372705
23,0.9948837,0.10118695
24,0.99475765,0.107195176
25,0.99426746,
26,0.99448013,0.33517063
27,0.9940047,
28,0.9942601,
29,0.9941534,
30,-0.0033077812,0.00045953042
31,0.01797323,0.0017133965
32,0.027246496,0.0028808897
33,0.031033238,0.0031566916
34,0.055488437,0.0065387404
35,0.02724795,0.002881145
36,0.9940986,
37,0.99372214,
38,0.99446553,0.15286079
39,0.99486566,0.103710845
40,0.994311,0.37170678
41,0.99470305,0.13073929
42,0.99460256,0.14237848
43,0.99442875,0.6651479
44,0.9948353,0.100747176
45,1.4592319,0.0740896
